,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,hour,dayofweek
10289,2012-11-14 03:00:00,3,0,1,1,9.84,11.365,65,15.0013,0,5,5,2012,11,14,3,2
2343,2011-06-05 13:00:00,1,0,0,1,27.06,31.06,65,7.0015,154,213,367,2011,6,5,13,6
203,2011-01-09 18:00:00,4,0,0,1,6.56,6.82,40,22.0028,4,44,48,2011,1,9,18,6
262,2011-01-12 09:00:00,4,0,1,1,6.56,6.82,59,22.0028,3,78,81,2011,1,12,9,2
547,2011-02-05 23:00:00,4,0,0,1,10.66,12.88,93,15.0013,7,52,59,2011,2,5,23,5
5709,2012-01-13 01:00:00,4,0,1,2,15.58,19.695,76,19.9995,0,12,12,2012,1,13,1,4
6157,2012-02-12 19:00:00,4,0,0,1,6.56,6.82,40,19.0012,2,78,80,2012,2,12,19,6
1550,2011-04-10 11:00:00,1,0,0,2,16.4,20.455,87,8.9981,93,109,202,2011,4,10,11,6
8213,2012-07-03 14:00:00,2,0,1,1,36.9,38.635,25,12.998,69,241,310,2012,7,3,14,1
8742,2012-08-06 15:00:00,2,0,1,1,33.62,37.88,46,8.9981,91,183,274,2012,8,6,15,0
9808,2012-10-13 01:00:00,3,0,0,1,13.94,16.665,53,8.9981,23,123,146,2012,10,13,1,5
6132,2012-02-11 18:00:00,4,0,0,2,9.02,9.09,47,43.9989,3,105,108,2012,2,11,18,5
9535,2012-10-01 16:00:00,3,0,1,2,25.42,31.06,46,16.9979,51,408,459,2012,10,1,16,0
4934,2011-11-18 16:00:00,3,0,1,1,13.94,16.665,29,8.9981,19,190,209,2011,11,18,16,4
3460,2011-08-14 02:00:00,2,0,0,3,26.24,28.79,89,15.0013,13,49,62,2011,8,14,2,6
3502,2011-08-15 20:00:00,2,0,1,1,27.06,31.06,74,8.9981,45,240,285,2011,8,15,20,0
237,2011-01-11 06:00:00,4,0,1,2,6.56,9.09,55,8.9981,0,27,27,2011,1,11,6,1
6344,2012-03-01 14:00:00,4,0,1,1,23.78,27.275,35,15.0013,37,174,211,2012,3,1,14,3
1414,2011-04-04 19:00:00,1,0,1,1,28.7,31.82,24,31.0009,51,227,278,2011,4,4,19,0
5099,2011-12-06 13:00:00,3,0,1,3,18.86,22.725,100,12.998,6,65,71,2011,12,6,13,1
8598,2012-07-19 15:00:00,2,0,1,1,34.44,38.635,47,6.0032,66,226,292,2012,7,19,15,3
599,2011-02-08 03:00:00,4,0,1,3,11.48,13.635,93,11.0014,0,1,1,2011,2,8,3,1
99,2011-01-05 08:00:00,4,0,1,1,8.2,9.09,40,19.9995,3,192,195,2011,1,5,8,2
5017,2011-12-03 03:00:00,3,0,0,1,9.84,12.12,70,8.9981,4,5,9,2011,12,3,3,5
2299,2011-06-03 17:00:00,1,0,1,1,29.52,31.82,25,19.0012,73,485,558,2011,6,3,17,4
1164,2011-03-13 05:00:00,4,0,0,1,14.76,17.425,62,8.9981,0,3,3,2011,3,13,5,6
3730,2011-09-06 09:00:00,2,0,1,2,22.14,25.76,81,27.9993,18,167,185,2011,9,6,9,1
10006,2012-11-02 07:00:00,3,0,1,2,12.3,15.15,70,8.9981,8,349,357,2012,11,2,7,4
7341,2012-05-05 06:00:00,1,0,0,2,22.14,25.76,94,0.0,9,33,42,2012,5,5,6,5
5522,2012-01-05 05:00:00,4,0,1,2,8.2,11.365,59,6.0032,0,26,26,2012,1,5,5,3
10226,2012-11-11 12:00:00,3,0,0,1,20.5,24.24,48,6.0032,195,390,585,2012,11,11,12,6
9636,2012-10-05 21:00:00,3,0,1,1,24.6,29.545,69,15.0013,47,220,267,2012,10,5,21,4
9399,2012-09-15 00:00:00,2,0,0,1,24.6,28.03,83,7.0015,38,169,207,2012,9,15,0,5
6960,2012-04-08 08:00:00,1,0,0,1,16.4,20.455,30,12.998,19,65,84,2012,4,8,8,6
1902,2011-05-06 04:00:00,1,0,1,1,14.76,18.18,71,7.0015,0,1,1,2011,5,6,4,4
2742,2011-07-03 04:00:00,2,0,0,3,27.88,31.82,65,6.0032,3,2,5,2011,7,3,4,6
2680,2011-06-19 14:00:00,1,0,0,3,30.34,34.09,58,7.0015,124,193,317,2011,6,19,14,6
10090,2012-11-05 19:00:00,3,0,1,1,13.12,15.91,49,11.0014,11,361,372,2012,11,5,19,0
10716,2012-12-12 22:00:00,3,0,1,2,12.3,14.395,52,15.0013,4,118,122,2012,12,12,22,2
6005,2012-02-06 11:00:00,4,0,1,1,10.66,13.635,70,8.9981,12,104,116,2012,2,6,11,0
7132,2012-04-15 13:00:00,1,0,0,1,27.06,31.06,44,19.0012,298,383,681,2012,4,15,13,6
1734,2011-04-18 04:00:00,1,0,1,1,16.4,20.455,87,11.0014,2,4,6,2011,4,18,4,0
3896,2011-09-13 09:00:00,2,0,1,1,26.24,30.305,69,6.0032,35,179,214,2011,9,13,9,1
8839,2012-08-10 16:00:00,2,0,1,1,31.98,36.365,55,19.9995,96,371,467,2012,8,10,16,4
9142,2012-09-04 07:00:00,2,0,1,2,27.88,31.82,89,7.0015,13,480,493,2012,9,4,7,1
3779,2011-09-08 11:00:00,2,0,1,2,26.24,28.03,94,15.0013,16,82,98,2011,9,8,11,3
4061,2011-10-01 06:00:00,3,0,0,1,17.22,21.21,67,22.0028,4,15,19,2011,10,1,6,5
2958,2011-07-12 04:00:00,2,0,1,1,28.7,33.335,79,11.0014,0,6,6,2011,7,12,4,1
730,2011-02-13 19:00:00,4,0,0,1,16.4,20.455,35,19.0012,11,50,61,2011,2,13,19,6
2906,2011-07-10 00:00:00,2,0,0,1,28.7,32.575,61,11.0014,42,112,154,2011,7,10,0,6
7167,2012-04-17 00:00:00,1,0,1,1,27.06,31.06,54,12.998,10,33,43,2012,4,17,0,1
3723,2011-09-06 02:00:00,2,0,1,3,22.14,25.76,94,16.9979,0,2,2,2011,9,6,2,1
3307,2011-08-07 17:00:00,2,0,0,3,30.34,35.605,74,43.0006,63,131,194,2011,8,7,17,6
5767,2012-01-15 11:00:00,4,0,0,1,6.56,7.575,47,15.0013,21,144,165,2012,1,15,11,6
4253,2011-10-09 06:00:00,3,0,0,1,18.04,21.97,88,0.0,7,14,21,2011,10,9,6,6
5309,2011-12-15 07:00:00,3,0,1,1,13.12,15.91,70,12.998,6,252,258,2011,12,15,7,3
3796,2011-09-09 04:00:00,2,0,1,3,25.42,27.275,94,11.0014,0,3,3,2011,9,9,4,4
6452,2012-03-06 02:00:00,4,0,1,1,8.2,9.85,44,15.0013,0,4,4,2012,3,6,2,1
8434,2012-07-12 19:00:00,2,0,1,1,30.34,33.335,48,15.0013,97,532,629,2012,7,12,19,3
2155,2011-05-16 17:00:00,1,0,1,1,23.78,27.275,88,15.0013,47,227,274,2011,5,16,17,0
9846,2012-10-14 15:00:00,3,0,0,1,27.06,31.06,39,27.9993,213,355,568,2012,10,14,15,6
763,2011-02-15 05:00:00,4,0,1,1,9.02,9.09,32,31.0009,0,4,4,2011,2,15,5,1
7410,2012-05-08 03:00:00,1,0,1,2,21.32,25.0,68,19.0012,2,4,6,2012,5,8,3,1
3686,2011-09-04 12:00:00,2,0,0,1,31.16,36.365,66,11.0014,214,221,435,2011,9,4,12,6
8553,2012-07-17 18:00:00,2,0,1,1,36.9,40.15,33,12.998,60,712,772,2012,7,17,18,1
2800,2011-07-05 14:00:00,2,0,1,1,32.8,37.12,49,11.0014,66,112,178,2011,7,5,14,1
9220,2012-09-07 13:00:00,2,0,1,1,32.8,38.635,59,16.9979,71,283,354,2012,9,7,13,4
6723,2012-03-17 10:00:00,4,0,0,2,20.5,24.24,77,6.0032,140,303,443,2012,3,17,10,5
1174,2011-03-13 15:00:00,4,0,0,1,19.68,23.485,39,22.0028,149,155,304,2011,3,13,15,6
1295,2011-03-18 20:00:00,4,0,1,1,25.42,31.06,46,8.9981,46,103,149,2011,3,18,20,4
6885,2012-04-05 05:00:00,1,0,1,1,15.58,19.695,43,19.0012,1,28,29,2012,4,5,5,3
9834,2012-10-14 03:00:00,3,0,0,1,17.22,21.21,77,19.9995,3,25,28,2012,10,14,3,6
5530,2012-01-05 13:00:00,4,0,1,1,13.94,15.15,42,19.9995,6,112,118,2012,1,5,13,3
4921,2011-11-18 03:00:00,3,0,1,1,9.84,10.605,41,19.0012,0,2,2,2011,11,18,3,4
3595,2011-08-19 17:00:00,2,0,1,1,31.16,35.605,58,35.0008,85,442,527,2011,8,19,17,4
4353,2011-10-13 10:00:00,3,0,1,3,22.96,26.515,100,8.9981,16,53,69,2011,10,13,10,3
7373,2012-05-06 14:00:00,1,0,0,2,24.6,30.305,64,7.0015,226,292,518,2012,5,6,14,6
835,2011-02-18 06:00:00,4,0,1,2,18.04,21.97,72,11.0014,2,48,50,2011,2,18,6,4
1702,2011-04-16 20:00:00,1,0,0,3,18.04,21.97,94,15.0013,4,49,53,2011,4,16,20,5
1743,2011-04-18 13:00:00,1,0,1,2,22.96,26.515,49,11.0014,41,128,169,2011,4,18,13,0
6206,2012-02-14 20:00:00,4,0,1,2,15.58,19.695,46,8.9981,6,178,184,2012,2,14,20,1
7606,2012-05-16 07:00:00,1,0,1,1,22.96,26.515,83,0.0,14,426,440,2012,5,16,7,2
8388,2012-07-10 21:00:00,2,0,1,3,26.24,28.79,89,7.0015,7,83,90,2012,7,10,21,1
4146,2011-10-04 19:00:00,3,0,1,1,21.32,25.0,68,15.0013,35,310,345,2011,10,4,19,1
6137,2012-02-11 23:00:00,4,0,0,3,4.92,3.79,50,32.9975,0,20,20,2012,2,11,23,5
4112,2011-10-03 09:00:00,3,0,1,2,16.4,20.455,66,6.0032,12,141,153,2011,10,3,9,0
8622,2012-08-01 15:00:00,2,0,1,1,33.62,37.88,46,11.0014,89,206,295,2012,8,1,15,2
9023,2012-08-18 08:00:00,2,0,0,1,26.24,30.305,69,16.9979,28,161,189,2012,8,18,8,5
9471,2012-09-18 00:00:00,2,0,1,3,24.6,25.76,94,16.9979,2,11,13,2012,9,18,0,1
6250,2012-02-16 16:00:00,4,0,1,3,13.94,18.18,81,0.0,8,110,118,2012,2,16,16,3
10389,2012-11-18 07:00:00,3,0,0,1,11.48,13.635,81,12.998,3,39,42,2012,11,18,7,6
6151,2012-02-12 13:00:00,4,0,0,1,6.56,6.06,40,30.0026,10,128,138,2012,2,12,13,6
3968,2011-09-16 09:00:00,2,0,1,1,18.86,22.725,55,16.9979,21,189,210,2011,9,16,9,4
8592,2012-07-19 09:00:00,2,0,1,2,31.16,35.605,58,19.0012,36,282,318,2012,7,19,9,3
5437,2012-01-01 15:00:00,4,0,0,1,18.86,22.725,51,19.9995,101,164,265,2012,1,1,15,6
2790,2011-07-05 04:00:00,2,0,1,1,27.06,31.06,69,11.0014,1,4,5,2011,7,5,4,1
3296,2011-08-07 06:00:00,2,0,0,1,28.7,33.335,89,11.0014,3,10,13,2011,8,7,6,6
6806,2012-04-01 21:00:00,1,0,0,2,20.5,24.24,59,11.0014,33,101,134,2012,4,1,21,6
4606,2011-11-05 00:00:00,3,0,0,1,13.12,14.395,45,23.9994,4,48,52,2011,11,5,0,5
2016,2011-05-10 22:00:00,1,0,1,1,21.32,25.0,55,7.0015,29,121,150,2011,5,10,22,1
533,2011-02-05 09:00:00,4,0,0,3,8.2,11.365,100,6.0032,3,17,20,2011,2,5,9,5
9895,2012-10-16 16:00:00,3,0,1,1,22.14,25.76,39,19.0012,79,367,446,2012,10,16,16,1
9053,2012-08-19 14:00:00,2,0,0,3,26.24,30.305,73,0.0,41,108,149,2012,8,19,14,6
10104,2012-11-06 09:00:00,3,0,1,1,10.66,12.88,60,11.0014,25,338,363,2012,11,6,9,1
392,2011-01-17 20:00:00,4,1,0,3,6.56,7.575,80,12.998,4,29,33,2011,1,17,20,0
9169,2012-09-05 10:00:00,2,0,1,2,31.16,36.365,70,11.0014,54,181,235,2012,9,5,10,2
9550,2012-10-02 07:00:00,3,0,1,3,23.78,27.275,83,7.0015,4,256,260,2012,10,2,7,1
418,2011-01-19 11:00:00,4,0,1,2,11.48,15.15,87,6.0032,5,47,52,2011,1,19,11,2
7586,2012-05-15 11:00:00,1,0,1,1,26.24,29.545,78,12.998,38,186,224,2012,5,15,11,1
10771,2012-12-15 05:00:00,3,0,0,2,10.66,15.15,75,0.0,0,3,3,2012,12,15,5,5
10686,2012-12-11 16:00:00,3,0,1,2,15.58,19.695,50,15.0013,24,334,358,2012,12,11,16,1
1624,2011-04-13 14:00:00,1,0,1,2,17.22,21.21,77,16.9979,24,82,106,2011,4,13,14,2
9828,2012-10-13 21:00:00,3,0,0,1,16.4,20.455,58,12.998,47,157,204,2012,10,13,21,5
6521,2012-03-08 23:00:00,4,0,1,2,22.96,26.515,49,30.0026,6,88,94,2012,3,8,23,3
9025,2012-08-18 10:00:00,2,0,0,1,28.7,32.575,54,11.0014,166,314,480,2012,8,18,10,5
5508,2012-01-04 15:00:00,4,0,1,2,7.38,7.575,37,22.0028,9,81,90,2012,1,4,15,2
1368,2011-04-02 21:00:00,1,0,0,1,13.12,15.15,61,16.9979,24,53,77,2011,4,2,21,5
8989,2012-08-16 22:00:00,2,0,1,1,29.52,33.335,51,11.0014,69,185,254,2012,8,16,22,3
10439,2012-12-01 09:00:00,3,0,0,2,10.66,12.12,93,16.9979,34,159,193,2012,12,1,9,5
2241,2011-06-01 07:00:00,1,0,1,2,28.7,33.335,79,11.0014,19,265,284,2011,6,1,7,2
1594,2011-04-12 08:00:00,1,0,1,3,19.68,23.485,88,26.0027,15,211,226,2011,4,12,8,1
3039,2011-07-15 13:00:00,2,0,1,1,28.7,32.575,54,12.998,85,162,247,2011,7,15,13,4
5260,2011-12-13 06:00:00,3,0,1,1,8.2,12.88,80,0.0,0,92,92,2011,12,13,6,1
1318,2011-03-19 19:00:00,4,0,0,1,18.04,21.97,33,19.0012,38,116,154,2011,3,19,19,5
4390,2011-10-14 23:00:00,3,0,1,1,18.86,22.725,59,11.0014,15,80,95,2011,10,14,23,4
524,2011-02-05 00:00:00,4,0,0,2,9.84,12.12,70,11.0014,3,36,39,2011,2,5,0,5
7707,2012-06-01 12:00:00,1,0,1,2,28.7,33.335,74,23.9994,72,238,310,2012,6,1,12,4
6205,2012-02-14 19:00:00,4,0,1,2,14.76,17.425,50,11.0014,11,270,281,2012,2,14,19,1
2518,2011-06-12 20:00:00,1,0,0,1,27.06,30.305,83,11.0014,62,144,206,2011,6,12,20,6
5470,2012-01-03 01:00:00,4,0,1,1,7.38,9.09,55,15.0013,1,5,6,2012,1,3,1,1
7276,2012-05-02 13:00:00,1,0,1,2,23.78,27.275,78,12.998,49,179,228,2012,5,2,13,2
2828,2011-07-06 18:00:00,2,0,1,1,31.16,35.605,62,12.998,77,486,563,2011,7,6,18,2
7890,2012-06-09 03:00:00,1,0,0,1,25.42,31.06,57,0.0,12,28,40,2012,6,9,3,5
3028,2011-07-15 02:00:00,2,0,1,1,24.6,28.79,78,11.0014,16,22,38,2011,7,15,2,4
3911,2011-09-14 00:00:00,2,0,1,1,25.42,29.545,78,6.0032,5,28,33,2011,9,14,0,2
6497,2012-03-07 23:00:00,4,0,1,1,18.04,21.97,62,22.0028,4,58,62,2012,3,7,23,2
1890,2011-05-05 16:00:00,1,0,1,1,23.78,27.275,24,27.9993,36,233,269,2011,5,5,16,3
3228,2011-08-04 10:00:00,2,0,1,1,29.52,33.335,71,19.9995,24,89,113,2011,8,4,10,3
10417,2012-11-19 11:00:00,3,0,1,2,15.58,19.695,66,16.9979,33,164,197,2012,11,19,11,0
5022,2011-12-03 08:00:00,3,0,0,1,9.84,12.88,75,6.0032,1,62,63,2011,12,3,8,5
6289,2012-02-18 07:00:00,4,0,0,1,9.84,14.395,70,0.0,8,33,41,2012,2,18,7,5
5608,2012-01-08 19:00:00,4,0,0,1,13.12,15.91,49,12.998,8,104,112,2012,1,8,19,6
6574,2012-03-11 05:00:00,4,0,0,1,9.84,12.12,60,11.0014,2,5,7,2012,3,11,5,6
489,2011-02-03 12:00:00,4,0,1,1,8.2,9.09,40,23.9994,2,67,69,2011,2,3,12,3
1909,2011-05-06 11:00:00,1,0,1,2,22.14,25.76,49,22.0028,42,123,165,2011,5,6,11,4
5333,2011-12-16 07:00:00,3,0,1,2,15.58,19.695,46,19.9995,5,226,231,2011,12,16,7,4
9174,2012-09-05 15:00:00,2,0,1,1,31.98,38.635,70,12.998,41,204,245,2012,9,5,15,2
9821,2012-10-13 14:00:00,3,0,0,1,19.68,23.485,33,12.998,243,354,597,2012,10,13,14,5
5537,2012-01-05 20:00:00,4,0,1,1,12.3,16.665,49,0.0,5,172,177,2012,1,5,20,3
7574,2012-05-14 23:00:00,1,0,1,2,23.78,27.275,78,7.0015,11,64,75,2012,5,14,23,0
1151,2011-03-12 15:00:00,4,0,0,1,17.22,21.21,44,32.9975,81,101,182,2011,3,12,15,5
760,2011-02-15 01:00:00,4,0,1,1,12.3,12.12,42,51.9987,0,5,5,2011,2,15,1,1
7865,2012-06-08 02:00:00,1,0,1,1,22.96,26.515,56,0.0,2,17,19,2012,6,8,2,4
1673,2011-04-15 15:00:00,1,1,0,1,22.14,25.76,52,30.0026,50,112,162,2011,4,15,15,4
10035,2012-11-03 12:00:00,3,0,0,2,14.76,15.91,46,31.0009,74,320,394,2012,11,3,12,5
5750,2012-01-14 18:00:00,4,0,0,1,9.02,11.365,41,12.998,21,122,143,2012,1,14,18,5
9529,2012-10-01 10:00:00,3,0,1,1,22.14,25.76,56,0.0,44,135,179,2012,10,1,10,0
4848,2011-11-15 02:00:00,3,0,1,1,22.96,26.515,64,16.9979,7,8,15,2011,11,15,2,1
3853,2011-09-11 13:00:00,2,0,0,1,30.34,34.09,58,7.0015,119,231,350,2011,9,11,13,6
456,2011-02-02 02:00:00,4,0,1,3,9.02,11.365,93,8.9981,4,0,4,2011,2,2,2,2
10195,2012-11-10 05:00:00,3,0,0,1,11.48,15.91,87,0.0,1,9,10,2012,11,10,5,5
10211,2012-11-10 21:00:00,3,0,0,1,16.4,20.455,66,0.0,51,169,220,2012,11,10,21,5
5322,2011-12-15 20:00:00,3,0,1,1,21.32,25.0,59,22.0028,12,209,221,2011,12,15,20,3
304,2011-01-14 03:00:00,4,0,1,1,4.1,6.82,54,7.0015,0,1,1,2011,1,14,3,4
8394,2012-07-11 03:00:00,2,0,1,1,26.24,28.79,89,8.9981,0,5,5,2012,7,11,3,2
6759,2012-03-18 22:00:00,4,0,0,1,20.5,24.24,77,7.0015,21,79,100,2012,3,18,22,6
5540,2012-01-05 23:00:00,4,0,1,1,9.84,12.88,70,7.0015,4,56,60,2012,1,5,23,3
2629,2011-06-17 11:00:00,1,0,1,1,27.88,31.82,69,16.9979,43,138,181,2011,6,17,11,4
2745,2011-07-03 07:00:00,2,0,0,2,26.24,28.79,89,12.998,3,22,25,2011,7,3,7,6
4155,2011-10-05 04:00:00,3,0,1,1,18.04,21.97,88,0.0,1,4,5,2011,10,5,4,2
2872,2011-07-08 14:00:00,2,0,1,2,32.8,39.395,63,23.9994,53,163,216,2011,7,8,14,4
5280,2011-12-14 02:00:00,3,0,1,1,10.66,15.15,75,0.0,0,2,2,2011,12,14,2,2
7453,2012-05-09 22:00:00,1,0,1,3,19.68,23.485,82,7.0015,5,62,67,2012,5,9,22,2
10285,2012-11-13 23:00:00,3,0,1,1,10.66,11.365,56,19.9995,6,78,84,2012,11,13,23,1
10278,2012-11-13 16:00:00,3,0,1,1,15.58,19.695,40,19.9995,28,282,310,2012,11,13,16,1
1274,2011-03-17 22:00:00,4,0,1,1,16.4,20.455,66,15.0013,17,70,87,2011,3,17,22,3
7963,2012-06-12 04:00:00,1,0,1,3,24.6,27.275,88,11.0014,0,4,4,2012,6,12,4,1
7265,2012-05-02 02:00:00,1,0,1,1,22.96,26.515,83,0.0,7,9,16,2012,5,2,2,2
2546,2011-06-14 00:00:00,1,0,1,1,24.6,31.06,49,12.998,13,18,31,2011,6,14,0,1
2134,2011-05-15 20:00:00,1,0,0,1,22.14,25.76,88,0.0,53,138,191,2011,5,15,20,6
1476,2011-04-07 09:00:00,1,0,1,2,16.4,20.455,66,8.9981,15,155,170,2011,4,7,9,3
10603,2012-12-08 05:00:00,3,0,0,2,14.76,18.18,93,7.0015,2,4,6,2012,12,8,5,5
254,2011-01-11 23:00:00,4,0,1,3,6.56,9.85,93,6.0032,1,18,19,2011,1,11,23,1
10729,2012-12-13 11:00:00,3,0,1,1,13.94,15.91,42,16.9979,25,164,189,2012,12,13,11,3
1329,2011-04-01 06:00:00,1,0,1,3,9.84,11.365,93,15.0013,2,26,28,2011,4,1,6,4
322,2011-01-14 22:00:00,4,0,1,2,6.56,11.365,69,0.0,2,34,36,2011,1,14,22,4
1789,2011-05-01 11:00:00,1,0,0,1,18.86,22.725,82,7.0015,109,141,250,2011,5,1,11,6
4331,2011-10-12 12:00:00,3,0,1,3,22.14,25.76,88,22.0028,9,53,62,2011,10,12,12,2
1298,2011-03-18 23:00:00,4,0,1,2,24.6,31.06,53,15.0013,26,60,86,2011,3,18,23,4
3622,2011-09-01 20:00:00,2,0,1,1,27.06,31.06,61,15.0013,33,247,280,2011,9,1,20,3
5560,2012-01-06 19:00:00,4,0,1,1,18.86,22.725,33,19.0012,11,261,272,2012,1,6,19,4
8171,2012-07-01 20:00:00,2,0,0,1,34.44,37.12,39,8.9981,88,244,332,2012,7,1,20,6
4963,2011-11-19 21:00:00,3,0,0,2,14.76,17.425,62,12.998,29,79,108,2011,11,19,21,5
10154,2012-11-08 12:00:00,3,0,1,1,16.4,20.455,24,32.9975,33,202,235,2012,11,8,12,3
7145,2012-04-16 02:00:00,1,1,0,1,24.6,30.305,64,16.9979,5,9,14,2012,4,16,2,0
8993,2012-08-17 02:00:00,2,0,1,1,27.06,12.12,61,8.9981,4,15,19,2012,8,17,2,4
10087,2012-11-05 16:00:00,3,0,1,1,14.76,16.665,43,19.0012,35,325,360,2012,11,5,16,0
5086,2011-12-06 00:00:00,3,0,1,2,20.5,24.24,77,19.9995,3,25,28,2011,12,6,0,1
1924,2011-05-07 02:00:00,1,0,0,1,17.22,21.21,82,6.0032,5,47,52,2011,5,7,2,5
8736,2012-08-06 09:00:00,2,0,1,3,28.7,33.335,79,11.0014,28,248,276,2012,8,6,9,0
8535,2012-07-17 00:00:00,2,0,1,1,29.52,35.605,84,7.0015,10,43,53,2012,7,17,0,1
10264,2012-11-13 02:00:00,3,0,1,3,14.76,15.91,87,30.0026,7,4,11,2012,11,13,2,1
4219,2011-10-07 20:00:00,3,0,1,1,22.14,25.76,49,0.0,30,167,197,2011,10,7,20,4
8001,2012-06-13 18:00:00,1,0,1,1,29.52,32.575,32,30.0026,104,640,744,2012,6,13,18,2
3752,2011-09-07 07:00:00,2,0,1,3,24.6,27.275,88,6.0032,3,83,86,2011,9,7,7,2
4941,2011-11-18 23:00:00,3,0,1,1,10.66,13.635,60,8.9981,5,54,59,2011,11,18,23,4
2835,2011-07-07 01:00:00,2,0,1,1,27.06,29.545,89,12.998,2,14,16,2011,7,7,1,3
6606,2012-03-12 13:00:00,4,0,1,2,22.14,25.76,32,16.9979,74,176,250,2012,3,12,13,0
1687,2011-04-16 05:00:00,1,0,0,2,15.58,19.695,87,19.0012,1,3,4,2011,4,16,5,5
1464,2011-04-06 21:00:00,1,0,1,1,18.86,22.725,41,19.0012,18,84,102,2011,4,6,21,2
8037,2012-06-15 06:00:00,1,0,1,1,22.14,25.76,83,8.9981,9,142,151,2012,6,15,6,4
837,2011-02-18 08:00:00,4,0,1,2,17.22,21.21,77,12.998,26,246,272,2011,2,18,8,4
9290,2012-09-10 11:00:00,2,0,1,1,25.42,31.06,43,19.9995,69,167,236,2012,9,10,11,0
2382,2011-06-07 04:00:00,1,0,1,1,23.78,27.275,83,8.9981,2,3,5,2011,6,7,4,1
2579,2011-06-15 09:00:00,1,0,1,1,24.6,31.06,49,0.0,22,185,207,2011,6,15,9,2
5344,2011-12-16 18:00:00,3,0,1,2,13.12,15.15,45,16.9979,10,285,295,2011,12,16,18,4
1112,2011-03-10 23:00:00,4,0,1,3,13.94,17.425,0,6.0032,1,26,27,2011,3,10,23,3
4429,2011-10-16 14:00:00,3,0,0,1,24.6,31.06,40,19.9995,204,258,462,2011,10,16,14,6
7327,2012-05-04 16:00:00,1,0,1,1,31.16,34.09,48,11.0014,82,358,440,2012,5,4,16,4
3651,2011-09-03 01:00:00,2,0,0,2,26.24,30.305,69,16.9979,17,57,74,2011,9,3,1,5
9930,2012-10-18 03:00:00,3,0,1,1,18.04,21.97,88,15.0013,0,5,5,2012,10,18,3,3
5449,2012-01-02 04:00:00,4,1,0,1,11.48,12.88,45,22.0028,0,4,4,2012,1,2,4,0
8156,2012-07-01 05:00:00,2,0,0,1,27.88,31.82,79,7.0015,3,7,10,2012,7,1,5,6
503,2011-02-04 02:00:00,4,0,1,2,5.74,8.335,63,7.0015,0,1,1,2011,2,4,2,4
1967,2011-05-08 21:00:00,1,0,0,1,21.32,25.0,77,6.0032,32,95,127,2011,5,8,21,6
8324,2012-07-08 05:00:00,2,0,0,1,31.98,37.12,62,0.0,1,5,6,2012,7,8,5,6
2766,2011-07-04 04:00:00,2,1,0,2,27.06,30.305,78,6.0032,8,4,12,2011,7,4,4,0
9067,2012-09-01 04:00:00,2,0,0,1,28.7,32.575,70,0.0,3,9,12,2012,9,1,4,5
3097,2011-07-17 23:00:00,2,0,0,1,28.7,33.335,74,8.9981,39,54,93,2011,7,17,23,6
6363,2012-03-02 09:00:00,4,0,1,1,12.3,16.665,81,0.0,15,299,314,2012,3,2,9,4
1853,2011-05-04 03:00:00,1,0,1,3,17.22,21.21,88,35.0008,0,1,1,2011,5,4,3,2
5385,2011-12-18 11:00:00,3,0,0,2,9.84,11.365,60,15.0013,20,168,188,2011,12,18,11,6
